title,day_posted,link,price,location,condition,make / manufacturer,model name / number
"TECNO Wireless Gaming Earbuds with Microphone, 50ms Ultra-Low Latency",Sep  8,https://newyork.craigslist.org/brk/ele/d/brooklyn-tecno-wireless-gaming-earbuds/7520222947.html,$54, (Brooklyn), new, TECNO, G01 Black
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Sep  8,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7531323888.html,$0, (bronx),,,
INSTANT CASH FOR iPHONES GREEN BLUE GOLD 12 IPHONE 13 PRO MAX TOP $!,Sep  7,https://newyork.craigslist.org/que/eld/d/rosedale-instant-cash-for-iphones-green/7530957257.html,"$9,999", (rosedale),,,
CASH FOR GIFT CARDS APPLE VISA GIFT CARD TOP !,Sep  7,https://newyork.craigslist.org/que/wad/d/south-ozone-park-cash-for-gift-cards/7530956933.html,$999, (rosedale),,,
XBOX Wireless Headset,Sep  6,https://newyork.craigslist.org/brk/ele/d/brooklyn-xbox-wireless-headset/7529173906.html,$75, (Clinton Hill), new, Microsoft,
INSTANT CASH FOR iPADS AIR 5TH  GEN iPAD 9TH GEN MINI PRO 11 PRO 12.9,Sep  6,https://newyork.craigslist.org/que/eld/d/rosedale-instant-cash-for-ipads-air-5th/7530551169.html,"$9,999", (rosedale),,,
CASH FOR GIFT CARDS APPLE VISA GIFT CARD TOP !,Sep  6,https://newyork.craigslist.org/que/wad/d/south-ozone-park-cash-for-gift-cards/7530551711.html,$999, (rosedale),,,
INSTANT CASH FOR iPHONES GREEN BLUE GOLD 12 IPHONE 13 PRO MAX TOP $!,Sep  6,https://newyork.craigslist.org/que/eld/d/rosedale-instant-cash-for-iphones-green/7530550677.html,"$9,999", (rosedale),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Sep  6,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7530549273.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Sep  6,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7530548503.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Sep  6,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7530548028.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Sep  6,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7530510005.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Sep  6,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7530477460.html,"$9,999", (404 utica ave 917200111ZERO),,,
Wanted Old Motorcycles 📞1(800) 220-9683 www.wantedoldmotorcycles.com,Sep  5,https://newyork.craigslist.org/brk/wad/d/brooklyn-wanted-old-motorcycles/7530394647.html,"$9,999", (Call(800)220-9683 🏍🏍🏍🏍🏍🏍 www.wantedoldmotorcycles.com),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Sep  5,https://newyork.craigslist.org/brx/wad/d/bronx-top-iphone-buyer-we-buy-iphone-11/7530345220.html,$0, (bronx),,,
Wanted Old Motorcycles 📞1(800) 220-9683 www.wantedoldmotorcycles.com,Sep  5,https://newyork.craigslist.org/brx/wad/d/bronx-wanted-old-motorcycles/7530219723.html,"$9,999", (Call📞1(800)220-9683 🏍🏍🏍Website: wantedoldmotorcycles.com),,,
Planar magnetic Audeze Penrose x 100 mm driver headphones,Sep  4,https://newyork.craigslist.org/brx/vgm/d/bronx-planar-magnetic-audeze-penrose/7526700097.html,$200, (Bronx),,,
Wanted Old Motorcycles 📞1(800) 220-9683 www.wantedoldmotorcycles.com,Sep  4,https://newyork.craigslist.org/lgi/wad/d/carle-place-wanted-old-motorcycles/7529895232.html,"$9,999", (Call📞1(800)220-9683 🏍🏍🏍Website: wantedoldmotorcycles.com),,,
WD BLACK 8TB D10 Game Drive,Sep  4,https://newyork.craigslist.org/brk/vgm/d/brooklyn-wd-black-8tb-d10-game-drive/7526581523.html,$180, (Brooklyn),,,
Xbox One X w games and headset,Sep  4,https://newyork.craigslist.org/brk/vgm/d/brooklyn-xbox-one-w-games-and-headset/7526608409.html,$240, (Brooklyn),,,
ProHT by INLAND Products High Speed 4K HDMI Cable 8ft BRAND NEW SEALED,Sep  4,https://newyork.craigslist.org/brk/ele/d/brooklyn-proht-by-inland-products-high/7518067605.html,$9, (Brooklyn), new, Inland Products, 012405082369
"Xbox Core Wireless Controller Robot White (NEW, SEALED)",Sep  3,https://newyork.craigslist.org/brk/vgm/d/brooklyn-xbox-core-wireless-controller/7527670798.html,$40, (Brooklyn), new, Microsoft, Core Controller
Various low watt light bulbs 13W 23W 53W,Sep  3,https://newyork.craigslist.org/brk/ele/d/brooklyn-various-low-watt-light-bulbs/7525677646.html,$8, (Flatbush / West Midwood),,,
........WE BUY ROLEX CASH NEW USED$$$,Sep  3,https://newyork.craigslist.org/que/jwd/d/astoria-we-buy-rolex-cash-new-used/7529441902.html,"$100,000", (queens),,,
CASH FOR IPHONES Top iphones Buyer We Buy Iphone 13 Pro Max X,Sep  3,https://newyork.craigslist.org/que/wad/d/jamaica-cash-for-iphones-top-iphones/7529412534.html,"$4,000", (2923 23RD AVE ASTORIA),,,
........WE BUY ROLEX CASH NEW USED$$$,Sep  3,https://newyork.craigslist.org/que/wad/d/new-york-we-buy-rolex-cash-new-used/7529411443.html,"$100,000", (Manhattan),,,
We Buy Iphone 13 Pro Max Iphone XS Max XR XS X 8 Plus,Sep  2,https://newyork.craigslist.org/que/wad/d/jamaica-we-buy-iphone-13-pro-max-iphone/7529298079.html,"$2,000", (Jamaica),,,
"BRAND NEW RED BULL Racing Pro Chair + Logitech G923 Racing wheel,Pedal,Shifter",Sep  2,https://newyork.craigslist.org/brk/ele/d/brooklyn-brand-new-red-bull-racing-pro/7529173174.html,$950, (Brooklyn),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Sep  2,https://newyork.craigslist.org/que/wad/d/westbury-top-iphone-buyer-we-buy-iphone/7529169482.html,$0, (Westbury),,,
TOP IPHONE BUYER OF IPHONES BUY 13 PRO MAX IPAD APPLE buy SELL,Sep  2,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-of-iphones/7529159525.html,$0, (Chelsea),,,
Top Iphone Buyer We Buy IPhone 12 Pro Max Iphone 11 Pro Max Iphone XS,Sep  2,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7529078869.html,"$1,500", (Chelsea),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Sep  2,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7529061172.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Sep  2,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7529061010.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Sep  1,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7528707033.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Sep  1,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7528706603.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Sep  1,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7528706834.html,$999, (404 utica ave 917200111ZERO),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Sep  1,https://newyork.craigslist.org/lgi/wad/d/westbury-top-iphone-buyer-we-buy-iphone/7528658758.html,$0, (Westbury),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Sep  1,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7528644894.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Sep  1,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7528575622.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Sep  1,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7528562728.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING irobot roomba IPAD PRO MACBOOK 14 IPHONE PRO MAX,Sep  1,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-irobot-roomba-ipad-pro/7528562601.html,"$9,999", (404 utica ave 917200111ZERO),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max XR XS X 8 Plus,Aug 31,https://newyork.craigslist.org/lgi/wad/d/westbury-top-iphone-buyer-we-buy-iphone/7528346200.html,$0, (Westbury),,,
📲 A1 TOP I-PHONE  BUYER - ALL CASH TODAY! 💰,Aug 31,https://newyork.craigslist.org/brk/wad/d/brooklyn-a1-top-phone-buyer-all-cash/7528240478.html,$0, (brooklyn),,,
BUYING irobot roomba IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 31,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-irobot-roomba-ipad-pro/7528205098.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 31,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7528204960.html,"$9,999", (404 utica ave 917200111ZERO),,,
Max Payne 2 Xbox,Aug 30,https://newyork.craigslist.org/mnh/vgm/d/new-york-max-payne-xbox/7528044937.html,$10, (Chelsea), excellent, Rockstar, Xbox
Elgato 4K60 Pro Capture Card,Aug 30,https://newyork.craigslist.org/brk/vgm/d/brooklyn-elgato-4k60-pro-capture-card/7515841197.html,$180, (Crown Heights),,,
We Buy Iphone 11 Pro Max Iphone XS Max  XR XS X 8 Plus ,Aug 30,https://newyork.craigslist.org/brk/mod/d/brooklyn-we-buy-iphone-11-pro-max/7527842991.html,"$1,000", (brooklyn),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 30,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7527833367.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING irobot roomba IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 30,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-irobot-roomba-ipad-pro/7527810343.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 30,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7527786600.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 30,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7527786064.html,$999, (404 utica ave 917200111ZERO),,,
Top Iphone Buyer We Buy Iphone 11 Pro Max Iphone XS Max  XR XS X 8 Plu,Aug 30,https://newyork.craigslist.org/brk/mod/d/brooklyn-top-iphone-buyer-we-buy-iphone/7527782913.html,$0, (brooklyn),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 30,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7527759932.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 30,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7527749733.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 30,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7527749599.html,"$9,999", (404 utica ave 917200111ZERO),,,
Hyper X Stinger Headphones,Aug 29,https://newyork.craigslist.org/mnh/ele/d/new-york-hyper-stinger-headphones/7527441989.html,$15, (New York), new, HyperX, Stinger Core
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 29,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7527423321.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 29,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7527424323.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 29,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7527389057.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 29,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7527388908.html,"$9,999", (404 utica ave 917200111ZERO),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 28,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7527203349.html,"$1,500", (midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 28,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7527094380.html,"$1,500", (midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 28,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7527094762.html,"$1,500", (Brooklyn),,,
Best Iphone Buyer We Buy IPhone 13 Pro Max Iphone 12 Pro Max Iphone XS,Aug 28,https://newyork.craigslist.org/mnh/wad/d/new-york-best-iphone-buyer-we-buy/7527035826.html,$0, (TriBeCa),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 28,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526957527.html,"$1,500", (midtown),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 28,https://newyork.craigslist.org/mnh/wad/d/new-york-google-nest-arlo-dyson-ps5/7526957361.html,"$5,000", (New York),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526869192.html,"$1,500", (midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526849963.html,"$1,500", (midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 27,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7526849846.html,"$1,500", (Brooklyn),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-google-nest-arlo-dyson-ps5/7526849788.html,"$5,000", (New York),,,
XBox Controller (with box),Aug 27,https://newyork.craigslist.org/mnh/vgm/d/new-york-xbox-controller-with-box/7526842194.html,$40, (Lower East Side),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 27,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7526826399.html,"$1,500", (Brooklyn),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526826287.html,"$1,500", (midtown),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-google-nest-arlo-dyson-ps5/7526826076.html,"$5,000", (New York),,,
CASH FOR IPHONES Top iphones Buyer We Buy Iphone 13 Pro Max X,Aug 27,https://newyork.craigslist.org/que/wad/d/jamaica-cash-for-iphones-top-iphones/7526690878.html,"$4,000", (2923 23RD AVE ASTORIA),,,
........WE BUY ROLEX CASH NEW USED$$$,Aug 27,https://newyork.craigslist.org/que/wad/d/new-york-we-buy-rolex-cash-new-used/7526689943.html,"$100,000", (37 W 47TH STREET),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526574557.html,"$1,500", (midtown),,,
Top Iphone Buyer We Buy IPhone 13 Pro Max Iphone 12 Pro Max Iphone XS,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphone-buyer-we-buy-iphone/7526543266.html,$0, (Union Square),,,
Best Iphone Buyer We Buy IPhone 13 Pro Max Iphone 12 Pro Max Iphone XS,Aug 27,https://newyork.craigslist.org/mnh/wad/d/new-york-best-iphone-buyer-we-buy/7526542750.html,$0, (SoHo),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526364726.html,"$1,500", (midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526364574.html,"$1,500", (midtown),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526364399.html,"$1,500", (midtown),,,
BUYING IPHONE 13 12 11 PRO MAX GET TOP DOLLAR FOR UNWATNED IPHONES,Aug 26,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-iphone-pro-max-get-top/7526312700.html,"$9,999", (404 utica ave 917200111ZERO),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-google-nest-arlo-dyson-ps5/7526289712.html,"$5,000", (New York),,,
BUYING NEST THERMOSTAT 10+ $150 NEST 2 PACK CAMERA $165 YALE LOCK $150,Aug 26,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-nest-thermostat-nest/7526283067.html,"$9,999", (404 utica ave 917200111ZERO),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-google-nest-arlo-dyson-ps5/7526277382.html,"$5,000", (New York),,,
BUYING 13 PRO MAX 256gb GREEN blue 85 BUYING APPLE GIFT CARD 80,Aug 26,https://newyork.craigslist.org/brk/wad/d/brooklyn-buying-13-pro-max-256gb-green/7526276815.html,$999, (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 26,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7526276621.html,"$9,999", (404 utica ave 917200111ZERO),,,
BUYING IPAD PRO MACBOOK 14 IPHONE PRO MAX,Aug 26,https://newyork.craigslist.org/brk/mod/d/brooklyn-buying-ipad-pro-macbook-14/7526276621.html,"$9,999", (404 utica ave 917200111ZERO),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-google-nest-arlo-dyson-ps5/7526224809.html,"$5,000", (New York),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-top-iphones-buyer-we-buy/7526224395.html,"$1,500", (midtown),,,
GOOGLE NEST ARLO DYSON PS5 XBOX SWITCH WANTED UP TO 80,Aug 26,https://newyork.craigslist.org/mnh/wad/d/new-york-google-nest-arlo-dyson-ps5/7526197847.html,"$5,000", (New York),,,
Top iphones Buyer We Buy Iphone 13 Iphone 11 Pro Max XS Max XR X 8+,Aug 26,https://newyork.craigslist.org/brk/wad/d/brooklyn-top-iphones-buyer-we-buy/7526188810.html,"$1,500", (Brooklyn),,,
