title,day_posted,link,price,location,condition,fuel,odometer,title_status,transmission,type,size
2001 Volkswagen cabrio convertable,Nov 25,https://newyork.craigslist.org/lgi/cto/d/sea-cliff-2001-volkswagen-cabrio/7237122517.html,"$1,000", (Glen cove),salvage,gas,12000,clean,automatic,convertible,full-size
2010 NISSAN SANTRA,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-2010-nissan-santra/7236985101.html,"$2,000", (Brooklyn),good,gas,190000,clean,automatic,sedan,mid-size
2000 Ford Taurus,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-ford-taurus/7236974450.html,"$1,500","
pic
",,gas,,clean,automatic,,
F150 pick up truck,Nov 25,https://newyork.craigslist.org/mnh/cto/d/new-york-f150-pick-up-truck/7236972333.html,"$2,000", (East Harlem),good,gas,,clean,automatic,truck,
2006 Honda Odyssey EXL Mechanic Special,Nov 25,https://newyork.craigslist.org/lgi/cto/d/east-rockaway-2006-honda-odyssey-exl/7236936620.html,"$1,500", (Oceanside near JFK),,gas,,clean,automatic,,
2009 Nissan Sentra,Nov 25,https://newyork.craigslist.org/lgi/cto/d/east-rockaway-2009-nissan-sentra/7236933972.html,"$1,100", (Oceanside near JFK),,gas,,clean,automatic,,
1998 Toyota Corolla LE,Nov 25,https://newyork.craigslist.org/lgi/cto/d/east-rockaway-1998-toyota-corolla-le/7236931967.html,"$1,000", (Oceanside near JFK),,gas,,clean,automatic,,
2000 Infinti QX4 (Fully Loaded) 4x4 NEED TO SELL TODAY,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-infinti-qx4-fully-loaded/7236912989.html,"$1,450", (Brooklyn),,gas,,clean,automatic,,
98 Rav4,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-98-rav4/7236902797.html,"$1,200", (BROOKLYN),fair,gas,,clean,automatic,SUV,mid-size
97 Buick Lesabre ~~Good Condition~~,Nov 25,https://newyork.craigslist.org/que/cto/d/elmhurst-97-buick-lesabre-good-condition/7236877302.html,"$1,400"," (Flushing, NY)",good,gas,110000,clean,automatic,sedan,full-size
2002 Mercedes E320 Runs Good,Nov 25,https://newyork.craigslist.org/stn/cto/d/staten-island-2002-mercedes-e320-runs/7236874140.html,"$1,350", (Staten Island),,gas,,clean,automatic,,
1996 honda civic lx 4 door 90k,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-1996-honda-civic-lx-door-90k/7236870307.html,"$1,500","
pic
",,gas,96000,clean,automatic,,
2012 Dodge Caravan,Nov 25,https://newyork.craigslist.org/que/cto/d/long-island-city-2012-dodge-caravan/7236856020.html,"$1,500", (FLUSHING),fair,gas,240,clean,manual,,
Sell Your Cars In 15Mins Cash Today We Buy All Honda 718-501-5497,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-cars-in-15mins-cash/7236849063.html,"$1,500", (Brooklyn),,gas,,clean,manual,,
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7236839669.html,"$1,000","
pic
",,gas,,clean,automatic,,
SELL YOUR CAR/TRUCK/VAN TODAY FOR CASH TOP DOLLAR 9292157200,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-truck-van-today/7236808660.html,"$1,000","
pic
",,gas,,clean,automatic,,
BMW 525i,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-bmw-525i/7236784520.html,"$1,000","
pic
",fair,gas,100000,clean,automatic,sedan,full-size
Nissan Altima,Nov 25,https://newyork.craigslist.org/brk/cto/d/brooklyn-nissan-altima/7236699784.html,"$1,799","
pic
",,gas,,clean,automatic,,
2003 Hyundai Santa Fe,Nov 24,https://newyork.craigslist.org/brx/cto/d/bronx-2003-hyundai-santa-fe/7236623278.html,"$1,800", (Bronx),,gas,149000,clean,automatic,,
Nissan Quest 2005,Nov 24,https://newyork.craigslist.org/brk/cto/d/brooklyn-nissan-quest-2005/7236616631.html,"$1,300","
pic
",,gas,,clean,other,,
2002 HONDA ACCORD DX 1-OWNER 126K,Nov 24,https://newyork.craigslist.org/brk/cto/d/brooklyn-2002-honda-accord-dx-owner-126k/7236612906.html,"$1,500", (Brooklyn),good,gas,126600,clean,automatic,sedan,mid-size
1997 Honda Civic DX,Nov 24,https://newyork.craigslist.org/brk/cto/d/brooklyn-1997-honda-civic-dx/7236606367.html,"$1,700", (Brooklyn),excellent,gas,95676,clean,automatic,coupe,full-size
1999 Toyota Sienna,Nov 24,https://newyork.craigslist.org/brx/cto/d/bronx-1999-toyota-sienna/7236548909.html,"$1,900", (Bronx ny),good,gas,189,clean,automatic,mini-van,compact
"2003 Mazda Protégé 5, 5 Speed Sanual",Nov 24,https://newyork.craigslist.org/brk/cto/d/brooklyn-2003-mazda-protg-5-speed-sanual/7236479294.html,"$1,499", (Sheepshead Bay Brooklyn),,gas,200,clean,manual,hatchback,
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 24,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7236476013.html,"$1,000","
pic
",,gas,,clean,automatic,,
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 24,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7236458702.html,"$1,000","
pic
",,gas,,clean,automatic,,
1998 Dodge Ram Van,Nov 24,https://newyork.craigslist.org/que/cto/d/whitestone-1998-dodge-ram-van/7236388343.html,"$1,500", (Queens),good,gas,80000,clean,automatic,van,full-size
2006 Audi A4 Quatro !!!!!!,Nov 24,https://newyork.craigslist.org/brk/cto/d/ridgewood-2006-audi-a4-quatro/7236284811.html,"$1,850", (Glendale),good,gas,107,clean,automatic,sedan,mid-size
2000 ford f150 4.6L RUNS AND DRIVES STRONG Pass inspection no problems,Nov 23,https://newyork.craigslist.org/que/cto/d/woodhaven-2000-ford-f150-46l-runs-and/7236123676.html,"$1,500", (Woodhaven Jamaica av),good,gas,118456,clean,automatic,pickup,compact
2002 Mercedes E320 150K Miles,Nov 23,https://newyork.craigslist.org/stn/cto/d/staten-island-2002-mercedes-k-miles/7236057374.html,"$1,700", (Staten Island),,gas,,clean,automatic,,
2005 trailblazer,Nov 23,https://newyork.craigslist.org/lgi/cto/d/seaford-2005-trailblazer/7236044894.html,"$1,200", (Massapequa),,gas,170000,clean,automatic,,
2010 buick lucerne cxl.,Nov 23,https://newyork.craigslist.org/que/cto/d/jamaica-2010-buick-lucerne-cxl/7235934839.html,"$2,000","
pic
",,gas,,clean,automatic,,
2007 Dodge Caravan 90k miles,Nov 23,https://newyork.craigslist.org/stn/cto/d/staten-island-2007-dodge-caravan-90k/7235931942.html,"$1,900", (Staten Island),,gas,90000,clean,automatic,,
2006 Nissan Altima,Nov 23,https://newyork.craigslist.org/fct/cto/d/brookfield-2006-nissan-altima/7235922319.html,"$1,200", (brookfield),fair,gas,,clean,automatic,,
Sell Your Cars In 15Mins Cash Today We Buy All Honda 718-501-5497,Nov 23,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-cars-in-15mins-cash/7235837481.html,"$1,000", (Brooklyn),,gas,,clean,manual,,
Toyota Prius 2007,Nov 23,https://newyork.craigslist.org/brk/cto/d/brooklyn-toyota-prius-2007/7235821145.html,"$1,700","
pic
",good,hybrid,212000,clean,automatic,,full-size
2005 Nissan Altima 2.5 SL,Nov 23,https://newyork.craigslist.org/lgi/cto/d/long-beach-2005-nissan-altima-25-sl/7235797509.html,"$2,000", (Long Beach),fair,gas,186000,clean,automatic,sedan,full-size
$500 for any junk car,Nov 23,https://newyork.craigslist.org/que/cto/d/long-island-city-500-for-any-junk-car/7235755966.html,"$1,900", (Long Island city),new,gas,140,clean,automatic,coupe,compact
2003 Acura tl,Nov 23,https://newyork.craigslist.org/que/cto/d/jamaica-2003-acura-tl/7235743417.html,"$1,000","
pic
",good,gas,,clean,automatic,sedan,full-size
2009 Hyundai Sonata,Nov 23,https://newyork.craigslist.org/stn/cto/d/staten-island-2009-hyundai-sonata/7235720042.html,"$1,800"," (Staten Island, New York City, New York)",good,gas,227000,clean,automatic,sedan,
1988 Cadillac Eldorado,Nov 23,https://newyork.craigslist.org/que/cto/d/ozone-park-1988-cadillac-eldorado/7235587708.html,"$1,200","
pic
",,gas,109882,clean,automatic,,
2002 Honda Accord,Nov 22,https://newyork.craigslist.org/wch/cto/d/yonkers-2002-honda-accord/7235479955.html,"$1,700", (Yonkers),good,gas,200000,clean,automatic,sedan,mid-size
Chrysler LeBaron LX 92,Nov 22,https://newyork.craigslist.org/brk/cto/d/brooklyn-chrysler-lebaron-lx-92/7235405464.html,"$1,500","
pic
",,gas,,clean,automatic,,
1995 Chrysler Concorde low mileage car,Nov 22,https://newyork.craigslist.org/brk/cto/d/brooklyn-1995-chrysler-concorde-low/7235374498.html,"$1,700", (Brooklyn),excellent,gas,83000,clean,automatic,sedan,full-size
$$$ Sell Your Cars Cash Today We 𝙱𝚞𝚢 All Cars 718-501-5497 $$$,Nov 22,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-cars-cash-today-we/7235334438.html,"$1,400", (Brooklyn),,gas,,clean,manual,,
Honda Accord,Nov 22,https://newyork.craigslist.org/brk/cto/d/brooklyn-honda-accord/7235334186.html,"$1,600","
pic
",,gas,,clean,automatic,,
98 Chevy Astro,Nov 22,https://newyork.craigslist.org/brx/cto/d/bronx-98-chevy-astro/7235309408.html,"$1,950", (Bronx),,gas,,clean,automatic,,
CADILLAC ESCALADE 2002,Nov 22,https://newyork.craigslist.org/que/cto/d/woodside-cadillac-escalade-2002/7235287437.html,"$1,550", (WOODSIDE),good,gas,96000,clean,manual,SUV,full-size
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 22,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7235286390.html,"$1,000", (3479024581),,gas,,clean,other,,
EAGLE TALON,Nov 22,https://newyork.craigslist.org/stn/cto/d/staten-island-eagle-talon/7235264385.html,"$1,700", (Staten Island),good,gas,,clean,manual,coupe,full-size
2006 Nissan Altima 2.5S 4 cylinder Special Edition,Nov 22,https://newyork.craigslist.org/brk/cto/d/brooklyn-2006-nissan-altima-25s/7235171203.html,"$2,000","
pic
",,gas,,clean,automatic,,
2008 Saab 9-5,Nov 22,https://newyork.craigslist.org/brk/cto/d/brooklyn-2008-saab-5/7235165809.html,"$1,900", (Brooklyn),,,,,,,
_2007 Dodge Grand Caravan_,Nov 21,https://newyork.craigslist.org/lgi/cto/d/huntington-station-2007-dodge-grand/7235087088.html,"$1,850", (Nassau County Long Island),excellent,gas,140000,clean,automatic,,
BMW 530i 2004 139k miles gray black auto 6cyl e60 Navi leather Bluetooth,Nov 21,https://newyork.craigslist.org/brk/cto/d/brooklyn-bmw-530i-miles-gray-black-auto/7235045915.html,"$2,000","
pic
",,gas,,clean,automatic,,
BUYING CATALYTIC CONVERTERS ‼️💰GET CASH💲💲,Nov 21,https://newyork.craigslist.org/brk/cto/d/brooklyn-buying-catalytic-converters/7235039404.html,"$1,000","
pic
",excellent,gas,94000,clean,automatic,,
1997 Nissan Pathfinder 4WD SE,Nov 21,https://newyork.craigslist.org/que/cto/d/fresh-meadows-1997-nissan-pathfinder/7234965644.html,"$1,750","
pic
",,gas,210000,clean,automatic,,
NISSAN PATHFINDER 4 WHEEL DRIVE,Nov 21,https://newyork.craigslist.org/brx/cto/d/fresh-meadows-nissan-pathfinder-wheel/7234963987.html,"$1,700","
pic
",,gas,210000,clean,automatic,,
2004 BUICK CENTURY CUSTOM,Nov 21,https://newyork.craigslist.org/brx/cto/d/fresh-meadows-2004-buick-century-custom/7234961983.html,"$1,895","
pic
",,gas,58000,clean,automatic,,
2005 Honda Civic LX,Nov 21,https://newyork.craigslist.org/stn/cto/d/staten-island-2005-honda-civic-lx/7234960689.html,"$1,800", (Staten Island),good,gas,171000,clean,automatic,sedan,sub-compact
2004 Acura TSX,Nov 21,https://newyork.craigslist.org/lgi/cto/d/freeport-2004-acura-tsx/7234946224.html,"$1,100", (FREEPORT),fair,gas,276707,clean,automatic,sedan,compact
2006 V. W. Passat,Nov 21,https://newyork.craigslist.org/fct/cto/d/bridgeport-2006-w-passat/7234925305.html,"$1,200", (Bridgeport),good,gas,187000,clean,automatic,,compact
1976 Chevrolet Nova,Nov 21,https://newyork.craigslist.org/que/cto/d/little-neck-1976-chevrolet-nova/7234854189.html,"$1,000", (Little Neck),salvage,gas,102056,clean,automatic,,
2006 Volkswagen,Nov 21,https://newyork.craigslist.org/que/cto/d/jamaica-2006-volkswagen/7234614398.html,"$1,000","
pic
",good,gas,130,clean,automatic,sedan,mid-size
1987 Chevy Nova LOW MILES runs and drives!,Nov 20,https://newyork.craigslist.org/que/cto/d/long-island-city-1987-chevy-nova-low/7234500171.html,"$1,950", (Long Island City),good,gas,90000,clean,automatic,sedan,
Hyundai Elantra 2003 GLS,Nov 20,https://newyork.craigslist.org/que/cto/d/flushing-hyundai-elantra-2003-gls/7234492671.html,"$1,550", (Flushing),good,gas,151000,clean,automatic,sedan,mid-size
2005 Dodge Caravan SXT,Nov 20,https://newyork.craigslist.org/que/cto/d/south-ozone-park-2005-dodge-caravan-sxt/7234475273.html,"$1,500", (Queens),,gas,,clean,automatic,,
2006 Chevy Express 2500 Cargo,Nov 20,https://newyork.craigslist.org/que/cto/d/astoria-2006-chevy-express-2500-cargo/7234348026.html,"$1,100", (Astoria),fair,diesel,243000,clean,automatic,van,full-size
2004 CHEVROLET MALIBU,Nov 20,https://newyork.craigslist.org/brk/cto/d/brooklyn-2004-chevrolet-malibu/7234290758.html,"$1,900","
pic
",good,gas,39000,clean,automatic,,
2005 Chrysler Town+Country,Nov 20,https://newyork.craigslist.org/brx/cto/d/bronx-2005-chrysler-towncountry/7234237314.html,"$1,250", (Mott Haven),,gas,200000,clean,automatic,,
1996 honda civic lx 4 door 90k,Nov 20,https://newyork.craigslist.org/brk/cto/d/brooklyn-1996-honda-civic-lx-door-90k/7234211294.html,"$1,500","
pic
",,gas,,clean,automatic,,
1996 Honda Accord LX 88k all original. Runs ok. Call or text,Nov 20,https://newyork.craigslist.org/brk/cto/d/brooklyn-1996-honda-accord-lx-88k-all/7234141290.html,"$1,800","
pic
",,gas,88000,clean,automatic,,
Toyota Matrix XRS for Sale,Nov 20,https://newyork.craigslist.org/lgi/cto/d/floral-park-toyota-matrix-xrs-for-sale/7234143061.html,"$1,600","
pic
",fair,gas,,clean,automatic,,
🚗🛠️Audi A4 Quattro 2006 2.0 Turbo Needs Work,Nov 20,https://newyork.craigslist.org/stn/cto/d/staten-island-audi-a4-quattro-turbo/7234109077.html,"$1,200", (Rosebank),fair,gas,138000,clean,automatic,sedan,mid-size
Saab 9-2x aero,Nov 20,https://newyork.craigslist.org/fct/cto/d/norwalk-saab-2x-aero/7234087976.html,"$2,000", (Norwalk),fair,gas,129000,clean,automatic,wagon,
1999 Mercedes E320,Nov 20,https://newyork.craigslist.org/wch/cto/d/white-plains-1999-mercedes-e320/7234064574.html,"$1,995", (White Plains),good,gas,,clean,automatic,sedan,full-size
2008 Chevrolet cobalt  (5 speeds- manual). Drives. excellent ),Nov 20,https://newyork.craigslist.org/brx/cto/d/bronx-2008-chevrolet-cobalt-speeds/7234033552.html,"$1,500", (140 E 174 St. Bronx. NY. 10457),excellent,gas,140,clean,manual,sedan,
2000 BMW 3 series,Nov 20,https://newyork.craigslist.org/lgi/cto/d/inwood-2000-bmw-series/7234001126.html,"$2,000", (Inwood),excellent,gas,180000,clean,automatic,sedan,mid-size
2000 Tyota Corolla CE 104K,Nov 19,https://newyork.craigslist.org/fct/cto/d/port-chester-2000-tyota-corolla-ce-104k/7233932817.html,"$1,000", (GREENWICH),good,gas,104224,clean,automatic,sedan,compact
2001 Toyota Camry.,Nov 19,https://newyork.craigslist.org/stn/cto/d/staten-island-2001-toyota-camry/7233856525.html,"$1,899", (Staten Island),fair,gas,169000,clean,automatic,sedan,mid-size
Cash For Unwanted Cars,Nov 19,https://newyork.craigslist.org/brk/cto/d/brooklyn-cash-for-unwanted-cars/7233846699.html,"$1,000","
pic
",,gas,,clean,automatic,,
2003 Mazda protege 5..98k miles,Nov 19,https://newyork.craigslist.org/que/cto/d/ozone-park-2003-mazda-protege-598k-miles/7233803387.html,"$1,700", (Ozone Park),,gas,,clean,automatic,,
FORD  EXPLORER,Nov 19,https://newyork.craigslist.org/stn/cto/d/staten-island-ford-explorer/7233744534.html,"$2,000", (STATEN ISLAND),fair,gas,148000,clean,manual,,full-size
2002 Ford Focus Wagon,Nov 19,https://newyork.craigslist.org/que/cto/d/astoria-2002-ford-focus-wagon/7233738287.html,"$1,999","
pic
",,gas,110000,clean,automatic,,
2010 Bmw 535xi AWD Lost Title,Nov 19,https://newyork.craigslist.org/lgi/cto/d/east-rockaway-2010-bmw-535xi-awd-lost/7233717197.html,"$2,000", (Oceanside),,gas,,clean,automatic,,
SELL YOUR CAR/TRUCK/VAN TODAY FOR CASH TOP DOLLAR 9292157200,Nov 19,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-truck-van-today/7233694534.html,"$1,000","
pic
",,gas,,clean,automatic,,
2008 Nissan versa,Nov 19,https://newyork.craigslist.org/brk/cto/d/brooklyn-2008-nissan-versa/7233401087.html,"$1,600", (Brooklyn),good,gas,201,clean,automatic,sedan,mid-size
1988 OLDSM Cutlass Supreme,Nov 19,https://newyork.craigslist.org/brx/cto/d/bronx-1988-oldsm-cutlass-supreme/7233631236.html,"$2,000", (Bronx),fair,gas,,clean,automatic,coupe,full-size
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 19,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7233621686.html,"$1,000", (3479024581),,gas,1,clean,other,,
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 19,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7233555295.html,"$1,000","
pic
",,gas,,clean,automatic,,
1968 Austin Healey Sprite,Nov 19,https://newyork.craigslist.org/lgi/cto/d/brightwaters-1968-austin-healey-sprite/7233551502.html,"$1,500"," (bay shore, NY)",fair,gas,64304,clean,manual,coupe,compact
2003 Chrysler Sebring LXi,Nov 18,https://newyork.craigslist.org/stn/cto/d/staten-island-2003-chrysler-sebring-lxi/7233425381.html,"$1,900", (Great Kills),good,gas,125489,clean,automatic,coupe,
2002 Honda Civic,Nov 18,https://newyork.craigslist.org/brk/cto/d/brooklyn-2002-honda-civic/7233417508.html,"$1,800"," (Brooklyn, NY)",good,gas,138000,clean,automatic,,
2002 MDX,Nov 18,https://newyork.craigslist.org/que/cto/d/bellerose-2002-mdx/7233373007.html,"$2,000", (Bellerose),fair,gas,,clean,automatic,SUV,
Crysler Sebring convertible,Nov 18,https://newyork.craigslist.org/fct/cto/d/norwalk-crysler-sebring-convertible/7233322311.html,"$1,200", (Norwalk),good,gas,164600,clean,automatic,convertible,mid-size
"2008 Aacuuraa Mdxx Garde, Wheels",Nov 18,https://newyork.craigslist.org/mnh/cto/d/bronx-2008-aacuuraa-mdxx-garde-wheels/7233317772.html,"$1,855", (Bronx),excellent,gas,,clean,automatic,SUV,full-size
SELL YOUR CAR/TRUCK/VAN TODAY FOR CASH TOP DOLLAR,Nov 18,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-truck-van-today/7233258042.html,"$1,000","
pic
",,gas,,clean,automatic,,
2001 Saab 95  / 3L / 6 Cylinder Turbo,Nov 18,https://newyork.craigslist.org/brk/cto/d/brooklyn-2001-saab-95-3l-cylinder-turbo/7233243202.html,"$1,500","
pic
",,gas,,clean,automatic,,
Sell your car in 1 hour no gimmicks,Nov 18,https://newyork.craigslist.org/que/cto/d/new-york-sell-your-car-in-hour-no/7233242701.html,"$1,500", (Long Island city),new,gas,163,clean,automatic,,
$ I BUY CARS CALL NOW FOR CASH $,Nov 18,https://newyork.craigslist.org/brk/cto/d/brooklyn-buy-cars-call-now-for-cash/7233150734.html,"$2,000", (9176028558),,gas,,clean,automatic,,
SELL YOUR CAR/TRUCK/VAN TODAY FOR CASH TOP DOLLAR,Nov 18,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-truck-van-today/7232975106.html,"$1,000","
pic
",,gas,,clean,automatic,,
"Cash for Cars: Want Money Fast? We pay cash for used - $3,000",Nov 18,https://newyork.craigslist.org/que/cto/d/brooklyn-cash-for-cars-want-money-fast/7232899903.html,"$2,000", (All 5 boros li),,gas,,clean,automatic,,
2006 Honda Pilot,Nov 18,https://newyork.craigslist.org/brk/cto/d/brooklyn-2006-honda-pilot/7232893447.html,"$1,600", (Brooklyn),good,gas,172000,clean,automatic,truck,
BUYING CATALYTIC CONVERTERS ‼️GET QUICK CASH💲💲,Nov 17,https://newyork.craigslist.org/brk/cto/d/brooklyn-buying-catalytic-converters/7232832445.html,"$1,000","
pic
",,gas,95000,clean,automatic,,
2007 CHEVROLET MALIBU LT,Nov 17,https://newyork.craigslist.org/brk/cto/d/brooklyn-2007-chevrolet-malibu-lt/7232727690.html,"$2,000", (Brooklyn),good,gas,137000,clean,automatic,sedan,full-size
2005 dodge grand caravan,Nov 17,https://newyork.craigslist.org/que/cto/d/howard-beach-2005-dodge-grand-caravan/7232584169.html,"$1,200", (South Ozone Park),good,gas,119000,clean,automatic,mini-van,
2008 Ford Explorer (TRADES ONLY),Nov 17,https://newyork.craigslist.org/que/cto/d/woodside-2008-ford-explorer-trades-only/7232567055.html,"$1,234", (Woodside),fair,gas,114,clean,automatic,SUV,mid-size
2013 Ford Fiesta,Nov 17,https://newyork.craigslist.org/wch/cto/d/yonkers-2013-ford-fiesta/7232561363.html,"$1,500", (Yonkers),salvage,gas,50000,salvage,automatic,sedan,compact
2002 Chevy Impala LS  95kmi,Nov 17,https://newyork.craigslist.org/brx/cto/d/bronx-2002-chevy-impala-ls-95kmi/7232549459.html,"$1,350", (Mott Haven),,gas,95000,clean,automatic,,
2004 Jeep Grand Cherokee,Nov 17,https://newyork.craigslist.org/brk/cto/d/brooklyn-2004-jeep-grand-cherokee/7232452060.html,"$2,000", (Brooklyn),good,gas,140000,clean,automatic,SUV,full-size
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 17,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7232514942.html,"$1,000", (347 902 4581),,gas,,clean,automatic,,
2007 Jeep Subn,Nov 17,https://newyork.craigslist.org/wch/cto/d/bedford-hills-2007-jeep-subn/7232443113.html,"$1,500", (Westchester County),fair,gas,157000,clean,automatic,SUV,compact
Ford ecoline passenger 2002,Nov 17,https://newyork.craigslist.org/brk/cto/d/brooklyn-ford-ecoline-passenger-2002/7232384465.html,"$1,995", (Brooklyn),fair,gas,15700,clean,automatic,van,full-size
2000 toyota camry,Nov 17,https://newyork.craigslist.org/que/cto/d/richmond-hill-2000-toyota-camry/7232379665.html,"$1,500", (richmond hill),good,gas,147000,salvage,automatic,sedan,full-size
2000 Jeep Cherokee,Nov 17,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-jeep-cherokee/7232354421.html,"$1,500", (Sunset Park Brooklyn),good,gas,103540,clean,manual,wagon,full-size
2008 Dodge Avenger,Nov 17,https://newyork.craigslist.org/que/cto/d/astoria-2008-dodge-avenger/7232351303.html,"$1,300", (Queens),fair,gas,164000,clean,automatic,sedan,full-size
FOR SALE:  2002 Toyota Camry,Nov 16,https://newyork.craigslist.org/brx/cto/d/bronx-for-sale-2002-toyota-camry/7232193099.html,"$1,200", (EASTCHESTER BRONX),good,gas,219087,clean,automatic,sedan,full-size
2000 Mercedes ML320 AWD 215k miles Runs & Drives,Nov 16,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-mercedes-ml320-awd-215k/7232118689.html,"$1,600", (Bensonhurst),fair,gas,215403,clean,automatic,SUV,full-size
Priced to Sell!!,Nov 16,https://newyork.craigslist.org/brk/cto/d/brooklyn-priced-to-sell/7232071853.html,"$1,500"," (Brooklyn, N.Y.)",fair,gas,58000,clean,automatic,sedan,full-size
"2014 JEEP COMPASS 72,000 MILES - $10,500 LIEN TRANSFER PLUS CASH",Nov 16,https://newyork.craigslist.org/que/cto/d/kew-gardens-2014-jeep-compass-miles/7232067633.html,"$1,800","
pic
",excellent,gas,72000,lien,automatic,,
2003 chevy trailblazer  LOW MILEAGE,Nov 16,https://newyork.craigslist.org/brk/cto/d/brooklyn-2003-chevy-trailblazer-low/7232062246.html,"$1,750", (NYC),good,gas,90000,clean,automatic,SUV,full-size
2001Toyota Corolla CE,Nov 16,https://newyork.craigslist.org/brk/cto/d/brooklyn-2001toyota-corolla-ce/7232009937.html,"$1,400", (Brooklyn Ny),fair,gas,186000,clean,automatic,,compact
SELL YOUR CAR TODAY FOR CASH ON THE SPOT,Nov 16,https://newyork.craigslist.org/brk/cto/d/brooklyn-sell-your-car-today-for-cash/7231889090.html,"$1,000","
pic
",,gas,,clean,other,,
2000 honda accord  $1700,Nov 16,https://newyork.craigslist.org/brk/cto/d/brooklyn-2000-honda-accord-1700/7231847874.html,"$1,700", (brooklyn),,gas,,clean,automatic,,
